Partition,Group,QuestionNum,GroupAcc,OverallQAcc,Disparity,N,Fisher_OR,Fisher_p,Classification
LinguisticGroup,Native,1,0.6939,0.7,-0.0061,49,0.85,1.0,FAIR
LinguisticGroup,Non-Native,1,0.7273,0.7,0.0273,11,1.1765,1.0,FAIR
LinguisticGroup,Native,2,0.6122,0.5833,0.0289,49,1.8947,0.5001,FAIR
LinguisticGroup,Non-Native,2,0.4545,0.5833,-0.1288,11,0.5278,0.5001,BORDERLINE
LinguisticGroup,Native,3,0.7143,0.7167,-0.0024,49,0.9375,1.0,FAIR
LinguisticGroup,Non-Native,3,0.7273,0.7167,0.0106,11,1.0667,1.0,FAIR
LinguisticGroup,Native,4,0.7551,0.75,0.0051,49,1.1562,1.0,FAIR
LinguisticGroup,Non-Native,4,0.7273,0.75,-0.0227,11,0.8649,1.0,FAIR
LinguisticGroup,Native,5,0.551,0.5833,-0.0323,49,0.4602,0.3324,FAIR
LinguisticGroup,Non-Native,5,0.7273,0.5833,0.1439,11,2.1728,0.3324,BORDERLINE
LinguisticGroup,Native,6,0.5714,0.4833,0.0881,49,13.3333,0.0059,PASSIVE
LinguisticGroup,Non-Native,6,0.0909,0.4833,-0.3924,11,0.075,0.0059,ACTIVE-UNFAIR
LinguisticGroup,Native,7,0.6939,0.6833,0.0105,49,1.2952,0.7298,FAIR
LinguisticGroup,Non-Native,7,0.6364,0.6833,-0.047,11,0.7721,0.7298,FAIR
LinguisticGroup,Native,8,0.8571,0.8833,-0.0262,49,0.0,0.3302,FAIR
LinguisticGroup,Non-Native,8,1.0,0.8833,0.1167,11,inf,0.3302,BORDERLINE
ExpertiseGroup,Non-STEM,1,0.6667,0.7,-0.0333,18,0.8,0.7636,FAIR
ExpertiseGroup,STEM,1,0.7143,0.7,0.0143,42,1.25,0.7636,FAIR
ExpertiseGroup,Non-STEM,2,0.5556,0.5833,-0.0278,18,0.85,0.7832,FAIR
ExpertiseGroup,STEM,2,0.5952,0.5833,0.0119,42,1.1765,0.7832,FAIR
ExpertiseGroup,Non-STEM,3,0.7222,0.7167,0.0056,18,1.04,1.0,FAIR
ExpertiseGroup,STEM,3,0.7143,0.7167,-0.0024,42,0.9615,1.0,FAIR
ExpertiseGroup,Non-STEM,4,0.7778,0.75,0.0278,18,1.2419,1.0,FAIR
ExpertiseGroup,STEM,4,0.7381,0.75,-0.0119,42,0.8052,1.0,FAIR
ExpertiseGroup,Non-STEM,5,0.5556,0.5833,-0.0278,18,0.85,0.7832,FAIR
ExpertiseGroup,STEM,5,0.5952,0.5833,0.0119,42,1.1765,0.7832,FAIR
ExpertiseGroup,Non-STEM,6,0.5556,0.4833,0.0722,18,1.5132,0.5759,PASSIVE
ExpertiseGroup,STEM,6,0.4524,0.4833,-0.031,42,0.6609,0.5759,FAIR
ExpertiseGroup,Non-STEM,7,0.7222,0.6833,0.0389,18,1.3,0.7683,FAIR
ExpertiseGroup,STEM,7,0.6667,0.6833,-0.0167,42,0.7692,0.7683,FAIR
ExpertiseGroup,Non-STEM,8,0.8333,0.8833,-0.05,18,0.5263,0.4185,FAIR
ExpertiseGroup,STEM,8,0.9048,0.8833,0.0214,42,1.9,0.4185,FAIR
ExperienceGroup,High-Edu,1,0.6667,0.7,-0.0333,21,0.7857,0.7706,FAIR
ExperienceGroup,Lower-Edu,1,0.7179,0.7,0.0179,39,1.2727,0.7706,FAIR
ExperienceGroup,High-Edu,2,0.5238,0.5833,-0.0595,21,0.6875,0.5865,PASSIVE
ExperienceGroup,Lower-Edu,2,0.6154,0.5833,0.0321,39,1.4545,0.5865,FAIR
ExperienceGroup,High-Edu,3,0.8095,0.7167,0.0929,21,2.125,0.3687,PASSIVE
ExperienceGroup,Lower-Edu,3,0.6667,0.7167,-0.05,39,0.4706,0.3687,PASSIVE
ExperienceGroup,High-Edu,4,0.7619,0.75,0.0119,21,1.1034,1.0,FAIR
ExperienceGroup,Lower-Edu,4,0.7436,0.75,-0.0064,39,0.9062,1.0,FAIR
ExperienceGroup,High-Edu,5,0.6667,0.5833,0.0833,21,1.7143,0.4157,PASSIVE
ExperienceGroup,Lower-Edu,5,0.5385,0.5833,-0.0449,39,0.5833,0.4157,FAIR
ExperienceGroup,High-Edu,6,0.4286,0.4833,-0.0548,21,0.7125,0.5954,PASSIVE
ExperienceGroup,Lower-Edu,6,0.5128,0.4833,0.0295,39,1.4035,0.5954,FAIR
ExperienceGroup,High-Edu,7,0.5714,0.6833,-0.1119,21,0.4598,0.2452,BORDERLINE
ExperienceGroup,Lower-Edu,7,0.7436,0.6833,0.0603,39,2.175,0.2452,PASSIVE
ExperienceGroup,High-Edu,8,0.9048,0.8833,0.0214,21,1.3971,1.0,FAIR
ExperienceGroup,Lower-Edu,8,0.8718,0.8833,-0.0115,39,0.7158,1.0,FAIR
AgeGroup,Older-35plus,1,0.7368,0.7,0.0368,38,1.6,0.5598,FAIR
AgeGroup,Young-18-34,1,0.6364,0.7,-0.0636,22,0.625,0.5598,PASSIVE
AgeGroup,Older-35plus,2,0.6579,0.5833,0.0746,38,2.3077,0.1752,PASSIVE
AgeGroup,Young-18-34,2,0.4545,0.5833,-0.1288,22,0.4333,0.1752,BORDERLINE
AgeGroup,Older-35plus,3,0.6842,0.7167,-0.0325,38,0.6373,0.5599,FAIR
AgeGroup,Young-18-34,3,0.7727,0.7167,0.0561,22,1.5692,0.5599,PASSIVE
AgeGroup,Older-35plus,4,0.7368,0.75,-0.0132,38,0.8235,1.0,FAIR
AgeGroup,Young-18-34,4,0.7727,0.75,0.0227,22,1.2143,1.0,FAIR
AgeGroup,Older-35plus,5,0.5526,0.5833,-0.0307,38,0.7059,0.5942,FAIR
AgeGroup,Young-18-34,5,0.6364,0.5833,0.053,22,1.4167,0.5942,PASSIVE
AgeGroup,Older-35plus,6,0.4474,0.4833,-0.036,38,0.6746,0.5933,FAIR
AgeGroup,Young-18-34,6,0.5455,0.4833,0.0621,22,1.4824,0.5933,PASSIVE
AgeGroup,Older-35plus,7,0.6579,0.6833,-0.0254,38,0.7212,0.7742,FAIR
AgeGroup,Young-18-34,7,0.7273,0.6833,0.0439,22,1.3867,0.7742,FAIR
AgeGroup,Older-35plus,8,0.8684,0.8833,-0.0149,38,0.66,1.0,FAIR
AgeGroup,Young-18-34,8,0.9091,0.8833,0.0258,22,1.5152,1.0,FAIR
